Unnamed: 0,Customer Name,Review Rating,Review Title,Review Content,Product Name,polarity
10,Praggya,3.0 out of 5 stars,Think and evaluate before you go for it,reading lot geeky reviews youtube portals bought oneplus7t pls note using oneplus last many years expectations clear experience device says reviews unboxing things influenced pls note bought money unlike leading reviewers unboxing video geeks get free pls dont go blindly go users reviews bought money writing 5 days experience phonei gamer geek regular user wants office work phone social media blogging vlogging etcthe last oneplus phone using oneplus 5 quite happy screen got broken replacement cost higher selling price device itselfthe day arrived amazon opened lot excitement continued till held handshere issues1 weight weighed much felt like holding brick thick hold one hand minutes get deep red pit hand due blood circulation2 camera go conference tried clicking pictures picture quality come well still thought may light background previous experiences could believe good continued clicking pictures really missed detailing zoom make blurred clicked magazine cover picture oneplus 5 16 mp camera pic quality natural good clicks blur pics may image stabilization3 battery battery avg time teased iphone samsung series colleagues friends battery life welcome league offers avg battery life never carried charger previous models start 90 even two years carry even average usage wondering would phone battery life year more4 90 hz refresh rate gimmick sell device give fluid experience soon consumes battery always prefer keep 60hz option given display settings always stick desk power source around keep 90hz people move time dont fall it5 sound average phone calls crisp clear times callers voice gets hazy husky voice even audible person person sitting next even lower volumes speakers volume loud sound quality good6 premiumfeeling anymore multiple variants joined league samsung mi oppo vivo launching 7t pro oct 10 disappointment bought 7t day 1 maybe rd trials problem every two months launching new device update previous faults like oneplus 7 voice receiver one side right take calls hear phone left wont get clear voice volume added receivers side devicei still getting spent rs 40000 camera quality battery life sound quality calls getting wounds holding longi always recommended oneplus devices everyone around high hopes trust brand bought day launch experience wont recommend oneplus 7t colleagues friends planning upgrade devices,"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",0.11089802789802793
11,Amazon Customer,4.0 out of 5 stars,Treat to the eye,detailed review design 45reduced notchpremium glass backcamera bumpperformance 55latest greatest hardwaresmart optimisationsos 455smooth android experience oxygen osdisplay 455butter smooth 90 hz amoled display treat eyebattery 355fastest charging ever seenless capacitycamera 45overall good output 3 cameras amazing macro mode misses details messes colors sometimesaudio 45clear loud quality output,"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",0.5333333333333333
12,Kshitij Kumar,5.0 out of 5 stars,Best experience,awesome experiencebest class camera oxygen oslove,"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",1.0
13,manikanta,5.0 out of 5 stars,"One Plus 7T - One Word, STUNNING!!",received one plus 7t 2 days back describe experience 2 daysfirstly kudos amazon quick delivery excellent packagingcoming mobile first impression amazing smooth fast cant come itthe amoeld display stunning camera amazing battery backup also good took 40 min charge 2 100proscamera 485battery 55display 475performance 485speed 55gaming experience 485consno headset jackone plus didnt even provide 35mm type c converter either dissapointed mecamera design could made better feel better compared apple 11 prooverall 475 one plus proves best mobile right go,"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",0.47793650793650794
14,Vicky Sen,1.0 out of 5 stars,Please improve your build quality other wise india will fire you 😠,first one7t make sad received ph manufacturing defect display gum came edges display consumer aspects reputed brand paying 40000,"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",-0.125
15,Rajesh Adhikary,4.0 out of 5 stars,"Pro Camera, performance, looks. Cons Battery drain and heating up issues",phone great performance good camera ambiance charging fast per oneplus standards set earlier phones concerning heating issue crops battery drains quickly keep 60hz longer life anyone else feeling heating issues,"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",0.4066666666666666
16,KESH,1.0 out of 5 stars,PLEASE SAVE YOUR MONEY AND DON'T BUY THIS PHONE.,one worst phone ever purchased please dont buy phone put hard earned money stake many cons phone earlier used one plus 5t phone knew expect phone time much disappointedhere concerns1 screen resolution quality screen poor grains color banding issue screen images looks grainy unsharp comparision one plus 5t 6t phone ratio 209 instagram images shown portrait mode instead landscape mode images screen blurrry2 design phone mess much camera bulk even provided case cannot protect scratches phone fat haevy length also much ratio also premium feeling holding phone one plus 5t3 35mm jack big ommission since one plus 6 phone benefit removing bigger battery also buy seperate adapter new blutooth earphones blutooth earphones quality never good wired earphones4 camera quality average increase picture quality 3 cameras name sakei happy one plus customer wont recommend phone anyone please dont waste money,"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",-0.03314393939393939
17,Dheeraj Malhotra,4.0 out of 5 stars,No earphone jack,earphone jack,"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",0.0
18,Avengers,5.0 out of 5 stars,Good phone,one plus useroneplus one oneplus 3t oneplus 7ti dont like android phones due ui love stock androidcamara awesomefacing problem notifications dont know topi expecting great battery averageas moved 3t 7t buy wireless headphones worried bluetooth connection also goodstable,"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",0.39166666666666666
19,Nitish Kumar,1.0 out of 5 stars,Not recommended at all,smart lock feature working phone doesnt require pin fingerprint sensor sometimes gets unlocked side power button creates big security issue battery back pathetic great camera make totally underserving kind price oneplus selling device option available would asked refund,"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",0.12678571428571428
